Symbol,Name,Change,% Change,Price (Intraday),50 Day Average,200 Day Average,3-Mo Return,YTD Return,52 Week Range
FIGFX,Fidelity International Growth Fund,-0.03,-0.17%,17.4,17.12,16.15,5.27%,9.11%,
FSTSX,Fidelity Series International Small Cap Fund,-0.05,-0.32%,15.76,15.78,15.32,3.97%,5.86%,
FMIYX,FMI International Fund Institutional Class,0.02,+0.07%,30.49,30.63,30.46,3.95%,9.32%,
FMIJX,FMI International Fund,0.03,+0.10%,30.39,30.54,30.36,3.96%,9.31%,
FISMX,Fidelity International Small Cap Fund,-0.07,-0.24%,28.82,28.59,26.61,4.58%,7.56%,
FIXIX,Fidelity International Small Cap Fund,-0.07,-0.24%,29.03,28.8,26.79,4.59%,7.58%,
FIASX,Fidelity International Small Cap Fund,-0.06,-0.21%,28.21,28.0,26.03,4.53%,7.52%,
FICSX,Fidelity Advisor International Small Cap Fund Class C,-0.06,-0.22%,27.06,26.88,24.98,4.33%,7.27%,
FIQIX,Fidelity International Small Cap Fund,-0.07,-0.24%,28.99,28.76,26.77,4.63%,7.59%,
FTISX,Fidelity Advisor International Small Cap Fund Class M,-0.06,-0.21%,28.09,27.89,25.9,4.47%,7.44%,
FIONX,Fidelity SAI International Index Fund,0.02,+0.16%,12.8,12.54,11.79,5.43%,9.11%,
GICCX,Goldman Sachs International Small Cap Insights Fund Class C,0.0,0.00%,11.21,11.25,10.65,3.70%,5.36%,
GIRLX,Goldman Sachs International Small Cap Insights Fund,0.0,0.00%,11.47,11.51,10.94,6.50%,5.62%,
GICAX,Goldman Sachs Intl Small Cap Insights Fd Cl A,0.0,0.00%,11.55,11.59,11.01,,,
GGDPX,Goldman Sachs International Small Cap Insights Fund Class P,0.0,0.00%,11.54,11.57,11.01,6.56%,5.68%,
GICUX,Goldman Sachs International Small Cap Insights Fund Class R6,0.0,0.00%,11.54,11.57,11.02,6.56%,5.68%,
GICIX,Goldman Sachs International Small Cap Insights Fund,0.0,0.00%,11.51,11.55,10.99,3.88%,5.60%,
JDIVX,John Hancock Disciplined Value International Fund,0.03,+0.21%,14.25,13.98,12.97,5.39%,9.17%,
JDICX,John Hancock Disciplined Value International Fund,0.03,+0.21%,14.22,13.96,12.91,5.17%,8.86%,
JDIBX,John Hancock Disciplined Value International Fund,0.03,+0.21%,14.24,13.97,12.95,5.31%,9.10%,
JDITX,John Hancock Disciplined Value International Fund,0.03,+0.21%,14.25,13.98,12.96,5.39%,9.09%,
JDVIX,John Hancock Disciplined Value International Fund,0.03,+0.21%,14.26,13.99,12.97,5.38%,9.17%,
JDISX,John Hancock Disciplined Value International Fund Class R2,0.03,+0.21%,14.27,14.01,12.97,5.30%,9.08%,
JDIUX,John Hancock Disciplined Value International Fund,0.02,+0.14%,14.26,13.99,12.97,5.39%,9.17%,
BBHLX,BBH Partner Fund - International Equity,0.03,+0.20%,14.74,14.66,13.92,3.21%,8.13%,
KGGIX,Kopernik Global All-Cap Fund- Institutional Class,-0.06,-0.51%,11.69,11.51,11.84,1.04%,4.21%,
KGGAX,Kopernik Global All-Cap Fund,-0.07,-0.60%,11.76,11.57,11.89,0.95%,4.10%,
SFNNX,Schwab Fundamental International Large Company Index Fund,0.01,+0.10%,9.76,9.65,9.06,4.49%,7.96%,
FIENX,Fidelity International Enhanced Index Fund,0.01,+0.10%,10.2,9.97,9.35,,,
TSOEX,TIAA-CREF Social Choice International Equity Fund,0.03,+0.25%,12.14,11.91,11.13,5.55%,9.15%,
TSOPX,TIAA-CREF Social Choice International Equity Fund,0.04,+0.33%,12.2,11.98,11.19,5.61%,9.19%,
TSOHX,TIAA-CREF Social Choice International Equity Fund - Advisor,0.04,+0.33%,12.17,11.95,11.17,5.62%,9.21%,
TSORX,TIAA-CREF Social Choice International Equity Fund,0.03,+0.25%,12.15,11.93,11.14,5.55%,9.14%,
TSONX,TIAA-CREF Social Choice International Equity Fund,0.04,+0.33%,12.18,11.96,11.18,5.62%,9.20%,
RIVKX,American Funds International Vantage Fund Class R-4,0.04,+0.25%,15.83,15.4,14.24,7.23%,10.67%,
CIVAX,American Funds International Vantage Fund,0.04,+0.25%,15.7,15.27,14.17,7.22%,10.69%,
RIVGX,American Funds International Vantage Fund Class R-6,0.03,+0.19%,15.79,15.35,14.26,7.25%,10.78%,
RIVLX,American Funds International Vantage Fund,0.04,+0.25%,15.75,15.31,14.24,7.27%,10.81%,
AIVGX,American Funds International Vantage Fund,0.03,+0.19%,15.8,15.35,14.27,7.25%,10.78%,
CIVHX,American Funds International Vantage Fund,0.04,+0.25%,15.7,15.27,14.19,7.29%,10.77%,
RIVHX,American Funds International Vantage Fund Class R-2E,0.03,+0.19%,15.77,15.34,14.25,7.05%,10.57%,
AIVEX,American Funds International Vantage Fund,0.04,+0.25%,15.71,15.28,14.19,7.22%,10.68%,
CIVCX,American Funds International Vantage Fund Class 529-E,0.03,+0.19%,15.69,15.26,14.17,7.08%,10.55%,
CIVKX,American Funds International Vantage Fund,0.04,+0.25%,15.76,15.33,14.24,7.26%,10.72%,
RIVAX,American Funds International Vantage Fund Class R-1,0.03,+0.19%,15.76,15.33,14.19,6.98%,10.50%,
AIVCX,American Funds International Vantage Fund,0.03,+0.19%,15.57,15.15,14.04,6.92%,10.40%,
RIVJX,American Funds International Vantage Fund Class R-5E,0.04,+0.25%,15.73,15.3,14.22,7.21%,10.74%,
RIVDX,American Funds International Vantage Fund,0.03,+0.19%,15.58,15.16,14.08,6.99%,10.47%,
AIVFX,American Funds International Vantage Fund,0.04,+0.25%,15.75,15.32,14.23,7.27%,10.81%,
AIVBX,American Funds International Vantage Fund,0.04,+0.25%,15.69,15.26,14.17,7.15%,10.70%,
CIVGX,American Funds International Vantage Fund,0.04,+0.25%,15.7,15.27,14.19,7.22%,10.77%,
CIVBX,American Funds International Vantage Fund Class 529-C,0.03,+0.19%,15.56,15.14,14.03,6.93%,10.41%,
