Symbol,Name,Price (Intraday),Change,% Change,Volume,50 Day Average,200 Day Average,52 Week Range
IUSS,Invesco RAFI Strategic US Small Company ETF,33.58,0.01,+0.03%,"6,749",35.57,34.22,
PSET,Principal Quality ETF,51.77,0.01,+0.02%,"1,499",51.78,50.06,
BSDE,Invesco BulletShares (R) 2024 Emerging Markets Debt ETF,23.95,-0.01,-0.04%,"3,650",24.01,24.04,
PSCD,Invesco S&P SmallCap Consumer Discretionary ETF,84.84,-0.8,-0.94%,"1,050",90.12,83.11,
RNSC,First Trust Small Cap US Equity Select ETF,25.83,-0.13,-0.50%,959,27.31,26.34,
CSA,VictoryShares US Small Cap Volatility Wtd ETF,57.73,-0.08,-0.14%,2,61.31,59.56,
BSCE,Invesco BulletShares (R) 2023 USD Emerging Markets Debt ETF,23.38,0.03,+0.13%,"5,046",23.37,23.28,
RNDV,First Trust US Equity Dividend Select ETF,28.08,-0.08,-0.28%,"3,409",28.58,28.09,
SQLV,Royce Quant Small-Cap Quality Value ETF,34.4,-0.06,-0.17%,354,36.75,35.58,
DXJS,WisdomTree Japan Hedged SmallCap Equity Fund,47.23,0.07,+0.15%,"1,179",47.41,45.29,
BFIT,Global X Health & Wellness ETF,22.79,-0.11,-0.48%,"2,066",22.61,21.1,
ISEM,Invesco RAFI Strategic Emerging Markets ETF,23.43,-0.01,-0.02%,845,23.9,22.6,
MFLX,First Trust Flexible Municipal High Income ETF,16.76,-0.05,-0.30%,157,16.61,16.5,
