Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-07-31 00:00:00-04:00,528.5,535.25,528.5,531.25,48266,0.0,0.0
2020-08-03 00:00:00-04:00,527.0,528.25,517.0,521.0,71428,0.0,0.0
2020-08-04 00:00:00-04:00,521.0,521.25,507.75,508.25,82315,0.0,0.0
2020-08-05 00:00:00-04:00,508.25,512.75,506.0,510.75,67342,0.0,0.0
2020-08-06 00:00:00-04:00,510.75,515.0,500.75,501.25,86498,0.0,0.0
2020-08-07 00:00:00-04:00,501.25,503.75,490.5,495.5,93524,0.0,0.0
2020-08-10 00:00:00-04:00,495.25,497.25,490.0,491.0,76700,0.0,0.0
2020-08-11 00:00:00-04:00,491.0,498.75,490.5,495.0,83770,0.0,0.0
2020-08-12 00:00:00-04:00,495.75,498.0,488.0,491.25,90879,0.0,0.0
2020-08-13 00:00:00-04:00,490.0,500.75,489.0,496.75,82622,0.0,0.0
2020-08-14 00:00:00-04:00,495.5,507.75,493.5,500.0,75823,0.0,0.0
2020-08-17 00:00:00-04:00,500.5,517.5,500.0,516.5,66200,0.0,0.0
2020-08-18 00:00:00-04:00,516.25,517.5,503.0,507.5,50255,0.0,0.0
2020-08-19 00:00:00-04:00,507.25,514.25,506.25,512.0,49510,0.0,0.0
2020-08-20 00:00:00-04:00,511.75,520.25,506.5,519.5,37922,0.0,0.0
2020-08-21 00:00:00-04:00,520.0,527.75,515.0,527.25,58896,0.0,0.0
2020-08-24 00:00:00-04:00,527.75,533.25,516.5,520.75,30510,0.0,0.0
2020-08-25 00:00:00-04:00,521.25,533.75,520.75,527.25,26559,0.0,0.0
2020-08-26 00:00:00-04:00,527.0,532.75,523.25,532.0,25925,0.0,0.0
2020-08-27 00:00:00-04:00,531.75,543.75,531.0,542.5,18366,0.0,0.0
2020-08-28 00:00:00-04:00,543.0,547.25,536.75,539.25,17686,0.0,0.0
2020-08-31 00:00:00-04:00,539.25,551.75,538.0,544.25,1104,0.0,0.0
