Symbol	Name	Price (Intraday)	Change	% Change	Volume	Avg Vol (3 month)	Market Cap	PE Ratio (TTM)	52 Week Range
SOL	Emeren Group Ltd	4.1100	-0.0400	-0.96%	118,150	383,483	279.914M	51.38
CNDT	Conduent Incorporated	3.3300	-0.0500	-1.48%	1.161M	996,095	727.285M	N/A
RES	RPC, Inc.	7.77	-0.20	-2.51%	804,850	1.375M	1.694B	8.01
IHRT	iHeartMedia, Inc.	3.6400	+0.1600	+4.60%	695,781	901,545	457.29M	N/A
RIGL	Rigel Pharmaceuticals, Inc.	1.2500	+0.0600	+5.04%	1.44M	3.188M	222.539M	N/A
JBI	Janus International Group, Inc.	9.25	+0.14	+1.54%	743,303	390,111	1.397B	13.81
DNOW	NOW Inc.	10.44	-0.03	-0.29%	450,354	802,174	1.152B	9.16
AVID	Avid Technology, Inc.	32.00	+0.25	+0.79%	198,285	217,283	1.401B	25.81
GPRE	Green Plains Inc.	30.56	+0.51	+1.70%	940,542	865,877	1.818B	N/A
BBAR	Banco BBVA Argentina S.A.	3.9200	-0.0500	-1.26%	144,889	722,388	810.821M	2.86
CHMI	Cherry Hill Mortgage Investment Corporation	5.46	-0.05	-0.91%	216,673	477,758	135.944M	9.10
TWOU	2U, Inc.	5.95	-0.16	-2.62%	708,757	1.126M	524.175M	N/A
ARCO	Arcos Dorados Holdings Inc.	7.12	-0.05	-0.70%	828,774	743,093	1.516B	11.67
GRTS	Gritstone bio, Inc.	2.7700	+0.2700	+10.80%	448,688	720,956	242.824M	N/A
BALY	Bally's Corporation	18.44	-0.02	-0.11%	141,334	346,356	847.049M	N/A
STAR	iStar Inc.	7.63	+0.15	+2.01%	1.464M	378,139	662.56M	N/A
AUD	Audacy, Inc.	0.1107	-0.0039	-3.40%	752,501	1.137M	16.728M	N/A
VIST	Vista Energy, S.A.B. de C.V.	20.59	-0.21	-1.01%	152,288	695,843	1.925B	7.12
CAL	Caleres, Inc.	21.44	-0.25	-1.15%	325,028	672,772	773.086M	4.36
