Symbol	Name	Change	% Change	Price (Intraday)	50 Day Average	200 Day Average	3-Mo Return	YTD Return	52 Week Range
PSPTX	PIMCO StocksPLUS Absolute Return Fund Institutional Class	+0.04	+0.42%	9.54	9.45	9.37	5.27%	7.04%
PSPNX	PIMCO StocksPLUS Absolute Return Fund	+0.04	+0.43%	9.34	9.25	9.18	7.36%	6.62%
PSOCX	PIMCO StocksPLUS Absolute Return Fund	+0.03	+0.39%	7.72	7.65	7.62	7.07%	6.34%
IGISX	Voya Growth and Income Portfolio	+0.07	+0.41%	16.93	16.71	17.70	8.25%	7.56%
IAVGX	Voya Growth and Income Portfolio	+0.07	+0.40%	17.43	17.20	18.17	8.19%	7.53%
ISVGX	Voya Growth and Income Portfolio	+0.07	+0.40%	17.47	17.24	18.22	8.31%	7.64%
IIVGX	Voya Growth and Income Portfolio Class I	+0.07	+0.39%	18.18	17.93	18.91	6.54%	8.12%
SDLAX	SEI Institutional Investments Trust Dynamic Asset Allocation Fund	+0.06	+0.32%	18.74	18.52	19.88	4.97%	6.03%
CERPX	Pioneer Core Equity Fund	+0.04	+0.22%	18.52	18.68	18.70	0.98%	3.86%
PCEKX	Pioneer Core Equity Fund Class K	+0.04	+0.21%	18.77	18.92	18.99	1.13%	3.98%
PVFYX	Pioneer Core Equity Fund Class Y	+0.04	+0.21%	19.15	19.30	19.35	1.11%	3.95%
PCOTX	Pioneer Core Equity Fund	+0.03	+0.20%	14.97	15.11	15.24	0.81%	3.66%
PIOTX	Pioneer Core Equity Fund	+0.04	+0.21%	18.75	18.90	18.95	1.02%	3.93%
FTRIX	Fidelity Mega Cap Stock Fund	+0.07	+0.38%	18.31	18.06	17.19	6.12%	8.56%
FGRTX	Fidelity Mega Cap Stock Fund	+0.07	+0.38%	18.28	18.03	17.16	6.13%	8.58%
FGRCX	Fidelity Advisor Mega Cap Stock Fund Class C	+0.07	+0.40%	17.54	17.32	16.48	5.83%	8.30%
FZALX	Fidelity Advisor Mega Cap Stock Fd Cl Z	+0.06	+0.33%	18.17	17.92	17.06	6.11%	8.58%
FTGRX	Fidelity Advisor Mega Cap Stock Fund Class M	+0.07	+0.39%	17.97	17.73	16.87	5.99%	8.48%
FGTAX	Fidelity Advisor Mega Cap Stock Fund Class A	+0.07	+0.39%	17.97	17.73	16.87	6.06%	8.54%
HSTAX	Hartford Stock HLS Fund	+0.19	+0.20%	95.87	94.33	96.41	-0.53%	0.46%
HIBSX	Hartford Stock HLS Fund	+0.19	+0.20%	95.74	94.22	96.22	-0.58%	0.40%
SEHAX	SEI Institutional Investments Trust U.S. Equity Factor Allocation Fund	+0.02	+0.19%	10.72	10.78	11.27	2.65%	4.23%
EVSHX	Allspring Disciplined U.S. Core Fund - Class R	+0.04	+0.22%	17.91	17.69	18.61	7.89%	6.93%
EVSTX	Allspring Disciplined U.S. Core Fund Class C	+0.04	+0.25%	15.88	15.69	16.64	N/A	N/A
EVSRX	Allspring Disciplined U.S. Core Fund	+0.04	+0.22%	18.32	18.08	19.06	8.08%	7.13%
EVSYX	Allspring Disciplined U.S. Core Fund	+0.05	+0.27%	18.41	18.18	19.13	7.98%	6.97%
EVSIX	Allspring Disciplined U.S. Core Fund	+0.04	+0.22%	18.09	17.85	18.83	8.06%	7.10%
EVSAX	Allspring Disciplined U.S. Core Fund	+0.04	+0.23%	17.69	17.46	18.42	5.79%	7.26%
SPIIX	SEI Institutional Managed Trust S&P 500 Index Fund	+0.28	+0.37%	76.02	74.97	77.43	5.70%	7.24%
SSPIX	SEI Index Fund S&P 500 Index Fund Class F	+0.29	+0.38%	75.35	74.38	76.83	5.81%	7.37%
SDYAX	SEI Institutional Managed Trust Dynamic Asset Allocation Fund	+0.04	+0.28%	14.24	14.08	15.06	4.77%	5.78%
SDYYX	SEI Institutional Managed Trust Dynamic Asset Allocation Fund	+0.04	+0.28%	14.25	14.08	15.08	4.84%	5.85%
VSRDX	VALIC Company I U.S. Socially Responsible Fund	+0.03	+0.18%	16.65	18.77	19.46	2.98%	5.01%
MMFVX	MassMutual Equity Opportunities Fund Administrative Class	+0.04	+0.26%	15.58	15.39	16.63	0.19%	1.36%
MFVNX	MassMutual Select Focused Value Fund Class R3	+0.04	+0.32%	12.41	12.27	13.57	0.08%	1.30%
MFVSX	MassMutual Equity Opportunities Fund	+0.05	+0.30%	16.50	16.30	17.53	0.30%	1.47%
MMFYX	MassMutual Equity Opportunities Fund	+0.04	+0.25%	15.96	15.76	17.00	0.25%	1.39%
MFVZX	MassMutual Equity Opportunities Fund Class I	+0.05	+0.31%	16.38	16.18	17.43	0.31%	1.48%
MFVFX	MassMutual Equity Opportunities Fund	+0.04	+0.29%	13.91	13.74	15.01	0.22%	1.31%
MFVAX	MassMutual Equity Opportunities Fund	+0.04	+0.28%	14.34	14.17	15.42	0.14%	1.34%
MCSSX	MainStay WMC Enduring Capital Fund	+0.02	+0.07%	29.39	30.17	30.28	-2.26%	-0.31%
MOPBX	MainStay WMC Enduring Capital Fund Class B	+0.01	+0.04%	25.72	26.41	26.63	-2.46%	-0.50%
MSOIX	MainStay WMC Enduring Capital Fund	+0.02	+0.07%	29.60	30.36	30.51	-2.15%	-0.17%
